,Any,Serveis,Literal,Codi
0,2012,8.7221,Igualada,081022
1,2012,0.0,Cardona,080478
2,2012,0.0,"Llacuna, la",081043
3,2012,0.0,Castellcir,080556
4,2012,7.121,Castellbisbal,080543
5,2012,0.0,Castellbell i el Vilar,080538
6,2012,0.0,Castellar de n'Hug,080522
7,2012,8.2287,Castellar del Vallès,080517
8,2012,0.0,Castellar del Riu,080500
9,2012,0.0,Castell de l'Areny,080575
10,2012,0.0,Carme,080484
11,2012,0.0,Castellet i la Gornal,080581
12,2012,2.6438,Cardedeu,080462
13,2012,0.0,Capolat,080459
14,2012,0.0,Capellades,080446
15,2012,2.2897,Canyelles,080431
16,2012,0.0,Cànoves i Samalús,080425
17,2012,0.0,Canovelles,080410
18,2012,0.0,Canet de Mar,080403
19,2012,0.0,Casserres,080497
20,2012,0.0,Castellví de Rosanes,080667
21,2012,1.1482,Dosrius,080752
22,2012,7.8112,Cubelles,080749
23,2012,8.3835,Cornellà de Llobregat,080734
24,2012,0.0,Corbera de Llobregat,080728
25,2012,0.0,Copons,080713
26,2012,0.0,Collsuspina,080706
27,2012,0.0,Collbató,080692
28,2012,12.3512,Castelldefels,080569
29,2012,0.0,Centelles,080673
30,2012,0.0,Calldetenes,080370
31,2012,1.1669,Castellví de la Marca,080654
32,2012,0.319,Castellterçol,080641
33,2012,0.4151,Castellolí,080636
34,2012,0.0,Castellnou de Bages,080620
35,2012,0.0,Castellgalí,080615
36,2012,0.0,Castellfollit de Riubregós,080608
37,2012,0.0,Castellfollit del Boix,080594
38,2012,0.0,Cervelló,080689
39,2012,0.0,Argençola,080082
40,2012,0.0,Balenyà,080174
41,2012,0.0,Bagà,080168
42,2012,0.7856,Badalona,080155
43,2012,0.0,Aiguafreda,080142
44,2012,0.0,Avinyonet del Penedès,080137
45,2012,0.0,Avinyó,080121
46,2012,0.0,Avià,080116
47,2012,4.1646,Campins,080399
48,2012,0.0,Argentona,080095
49,2012,0.0,Begues,080207
50,2012,0.0,Arenys de Munt,080076
51,2012,8.0181,Arenys de Mar,080060
52,2012,4.4675,"Ametlla del Vallès, l'",080057
53,2012,0.0,Alpens,080044
54,2012,0.4779,Alella,080039
55,2012,0.0,Aguilar de Segarra,080023
56,2012,4.07,Abrera,080018
57,2012,0.0,Artés,080109
58,2012,0.0,Cabrera d'Anoia,080288
59,2012,0.6437,"Espunyola, l'",080787
60,2012,0.198,Calonge,080364
61,2012,6.0534,Calella,080351
62,2012,0.1768,Calders,080348
63,2012,3.9748,Caldes de Montbui,080333
64,2012,1.3477,Caldes d'Estrac,080327
65,2012,0.3205,Calaf,080312
66,2012,0.4366,Balsareny,080180
67,2012,10.2025,Cabrera de Mar,080291
68,2012,13.1485,Barcelona,080193
69,2012,0.0,"Cabanyes, les",080272
70,2012,0.0,"Brull, el",080266
71,2012,0.0,"Bruc, el",080253
72,2012,0.0,Borredà,080240
73,2012,0.0,Bigues i Riells,080235
74,2012,5.5113,Berga,080229
75,2012,0.0,Bellprat,080214
76,2012,0.0,Callús,080386
77,2012,0.5266,Cabrils,080305
78,2012,0.532,Montgat,081265
79,2012,2.9598,Montmeló,081350
80,2012,0.0,Figaró-Montmany,081347
81,2012,1.1568,Montmaneu,081332
82,2012,0.0,Montmajor,081326
83,2012,0.0,Montesquiu,081311
84,2012,0.0,Montclar,081304
85,2012,0.0,Muntanyola,081290
86,2012,3.3589,"Masnou, el",081189
87,2012,0.9341,Monistrol de Montserrat,081271
88,2012,8.3169,Moià,081385
89,2012,0.6727,Montcada i Reixac,081252
90,2012,13.1303,Mollet del Vallès,081249
91,2012,2.2236,Molins de Rei,081234
92,2012,0.0,Mediona,081228
93,2012,0.0,Mataró,081213
94,2012,0.6509,Matadepera,081206
95,2012,0.0,Esparreguera,080765
96,2012,0.0,Monistrol de Calders,081287
97,2012,0.0,Olesa de Bonesvalls,081461
98,2012,0.0,Palafolls,081555
99,2012,0.0,Pacs del Penedès,081542
100,2012,0.0,Òrrius,081537
101,2012,0.0,Orpí,081521
102,2012,0.0,Oristà,081516
103,2012,0.9736,Orís,081509
104,2012,0.7071,Olost,081496
