,Any,Literal,Codi,Densitat comercial
0,2017,Abella de la Conca,250019,565
1,2017,Abrera,080018,2612
2,2017,Àger,250024,2568
3,2017,Agramunt,250030,3109
4,2017,Aguilar de Segarra,080023,2251
5,2017,Agullana,170010,3035
6,2017,Aiguafreda,080142,1839
7,2017,Aiguamúrcia,430017,748
8,2017,Aiguaviva,170025,1067
9,2017,Aitona,250387,1069
10,2017,"Alamús, els",250045,2607
11,2017,Alàs i Cerc,250058,291
12,2017,"Albagés, l'",250061,351
13,2017,Albanyà,170031,809
14,2017,Albatàrrec,250077,475
15,2017,Albesa,250083,351
16,2017,"Albi, l'",250096,589
17,2017,Albinyana,430022,530
18,2017,"Albiol, l'",430038,0
19,2017,Albons,170046,156
20,2017,Alcanar,430043,1661
21,2017,Alcanó,250100,181
22,2017,Alcarràs,250117,2248
23,2017,Alcoletge,250122,1552
24,2017,Alcover,430056,2019
25,2017,"Aldea, l'",439044,2626
26,2017,Aldover,430069,445
27,2017,"Aleixar, l'",430075,439
28,2017,Alella,080039,1429
29,2017,Alfara de Carles,430081,580
30,2017,Alfarràs,250138,2035
31,2017,Alfés,250143,2188
32,2017,Alforja,430094,888
33,2017,Algerri,250156,1010
34,2017,Alguaire,250169,1965
35,2017,Alins,250175,31
36,2017,Alió,430108,127
37,2017,Almacelles,250194,2005
38,2017,Almatret,250208,881
39,2017,Almenar,250215,2787
40,2017,Almoster,430115,582
41,2017,Alòs de Balaguer,250220,0
42,2017,Alp,170062,2344
43,2017,Alpens,080044,495
44,2017,Alpicat,250236,1560
45,2017,Alt Àneu,250241,1007
46,2017,Altafulla,430120,1895
47,2017,Amer,170078,979
48,2017,"Ametlla de Mar, l'",430136,2586
49,2017,"Ametlla del Vallès, l'",080057,2677
50,2017,"Ampolla, l'",439060,2487
51,2017,Amposta,430141,3277
52,2017,Anglès,170084,1523
53,2017,Anglesola,250273,1303
54,2017,Arbeca,250292,1123
55,2017,"Arboç, l'",430167,2559
56,2017,Arbolí,430154,179
57,2017,Arbúcies,170097,1349
58,2017,Arenys de Mar,080060,1791
59,2017,Arenys de Munt,080076,1226
60,2017,Argelaguer,170101,300
61,2017,Argençola,080082,0
62,2017,"Argentera, l'",430173,2400
63,2017,Argentona,080095,948
64,2017,"Armentera, l'",170118,720
65,2017,Arnes,430189,739
66,2017,Arres,250313,0
67,2017,Arsèguel,250328,268
68,2017,Artés,080109,1449
69,2017,Artesa de Lleida,250334,2385
70,2017,Artesa de Segre,250349,5287
71,2017,Ascó,430192,2145
72,2017,Aspa,250365,84
73,2017,"Avellanes i Santa Linya, les",250371,2585
74,2017,Avià,080116,503
75,2017,Avinyó,080121,1000
76,2017,Avinyonet de Puigventós,170123,1314
77,2017,Avinyonet del Penedès,080137,842
78,2017,Badalona,080155,1674
79,2017,Badia del Vallès,089045,565
80,2017,Bagà,080168,1347
81,2017,Baix Pallars,250390,117
82,2017,Balaguer,250404,2456
83,2017,Balenyà,080174,2204
84,2017,Balsareny,080180,830
85,2017,Banyeres del Penedès,430206,552
86,2017,Banyoles,170157,2075
87,2017,Barbens,250411,1018
88,2017,Barberà de la Conca,430213,539
89,2017,Barberà del Vallès,082520,2954
90,2017,Barcelona,080193,2015
91,2017,"Baronia de Rialb, la",250426,128
92,2017,Bàscara,170160,2590
93,2017,Bassella,250447,1358
94,2017,Batea,430228,1205
95,2017,Bausen,250450,15657
96,2017,Begues,080207,1056
97,2017,Begur,170139,4127
98,2017,Belianes,250463,1364
99,2017,Bell-lloc d'Urgell,250485,1325
100,2017,Bellaguarda,251706,161
101,2017,Bellcaire d'Empordà,170182,3972
102,2017,Bellcaire d'Urgell,250479,1826
