,Any,Zones verdes,Literal,Codi
0,2012,71.1228,Igualada,081022
1,2012,4.1436,Cardona,080478
2,2012,0.8157,"Llacuna, la",081043
3,2012,0.5995,Castellcir,080556
4,2012,240.6678,Castellbisbal,080543
5,2012,47.5118,Castellbell i el Vilar,080538
6,2012,1.0185,Castellar de n'Hug,080522
7,2012,130.5503,Castellar del Vallès,080517
8,2012,0.0,Castellar del Riu,080500
9,2012,0.1667,Castell de l'Areny,080575
10,2012,0.8768,Carme,080484
11,2012,25.8475,Castellet i la Gornal,080581
12,2012,17.9106,Cardedeu,080462
13,2012,0.0,Capolat,080459
14,2012,2.6171,Capellades,080446
15,2012,38.9755,Canyelles,080431
16,2012,21.2279,Cànoves i Samalús,080425
17,2012,13.4398,Canovelles,080410
18,2012,7.4847,Canet de Mar,080403
19,2012,3.7248,Casserres,080497
20,2012,24.9576,Castellví de Rosanes,080667
21,2012,54.2052,Dosrius,080752
22,2012,22.2238,Cubelles,080749
23,2012,84.7666,Cornellà de Llobregat,080734
24,2012,129.7732,Corbera de Llobregat,080728
25,2012,0.3477,Copons,080713
26,2012,1.3861,Collsuspina,080706
27,2012,17.4362,Collbató,080692
28,2012,85.3382,Castelldefels,080569
29,2012,7.0038,Centelles,080673
30,2012,2.747,Calldetenes,080370
31,2012,0.8395,Castellví de la Marca,080654
32,2012,3.7381,Castellterçol,080641
33,2012,4.1678,Castellolí,080636
34,2012,21.0319,Castellnou de Bages,080620
35,2012,20.2791,Castellgalí,080615
36,2012,0.0959,Castellfollit de Riubregós,080608
37,2012,0.2549,Castellfollit del Boix,080594
38,2012,114.3186,Cervelló,080689
39,2012,0.3881,Argençola,080082
40,2012,5.9275,Balenyà,080174
41,2012,4.66,Bagà,080168
42,2012,196.4037,Badalona,080155
43,2012,5.2355,Aiguafreda,080142
44,2012,13.7574,Avinyonet del Penedès,080137
45,2012,1.108,Avinyó,080121
46,2012,6.0793,Avià,080116
47,2012,4.185,Campins,080399
48,2012,32.6581,Argentona,080095
49,2012,27.0042,Begues,080207
50,2012,28.483,Arenys de Munt,080076
51,2012,19.7365,Arenys de Mar,080060
52,2012,67.7523,"Ametlla del Vallès, l'",080057
53,2012,1.3955,Alpens,080044
54,2012,30.8351,Alella,080039
55,2012,0.3703,Aguilar de Segarra,080023
56,2012,35.5988,Abrera,080018
57,2012,13.5947,Artés,080109
58,2012,32.5727,Cabrera d'Anoia,080288
59,2012,0.3253,"Espunyola, l'",080787
60,2012,0.507,Calonge,080364
61,2012,27.1223,Calella,080351
62,2012,10.008,Calders,080348
63,2012,64.259,Caldes de Montbui,080333
64,2012,4.2228,Caldes d'Estrac,080327
65,2012,6.6838,Calaf,080312
66,2012,17.4771,Balsareny,080180
67,2012,9.2746,Cabrera de Mar,080291
68,2012,1254.6858,Barcelona,080193
69,2012,2.0692,"Cabanyes, les",080272
70,2012,2.4458,"Brull, el",080266
71,2012,11.0487,"Bruc, el",080253
72,2012,2.2214,Borredà,080240
73,2012,72.5601,Bigues i Riells,080235
74,2012,14.3771,Berga,080229
75,2012,0.0,Bellprat,080214
76,2012,6.4568,Callús,080386
77,2012,41.9404,Cabrils,080305
78,2012,34.7622,Montgat,081265
79,2012,30.6264,Montmeló,081350
80,2012,1.5612,Figaró-Montmany,081347
81,2012,1.1027,Montmaneu,081332
82,2012,1.3996,Montmajor,081326
83,2012,2.7155,Montesquiu,081311
84,2012,0.128,Montclar,081304
85,2012,15.2835,Muntanyola,081290
86,2012,17.6602,"Masnou, el",081189
87,2012,11.0788,Monistrol de Montserrat,081271
88,2012,11.5127,Moià,081385
89,2012,71.5138,Montcada i Reixac,081252
90,2012,105.6881,Mollet del Vallès,081249
91,2012,41.4666,Molins de Rei,081234
92,2012,16.7978,Mediona,081228
93,2012,94.1444,Mataró,081213
94,2012,220.9325,Matadepera,081206
95,2012,46.7688,Esparreguera,080765
96,2012,5.5979,Monistrol de Calders,081287
97,2012,5.8757,Olesa de Bonesvalls,081461
98,2012,16.7317,Palafolls,081555
99,2012,2.7355,Pacs del Penedès,081542
100,2012,4.3472,Òrrius,081537
101,2012,1.0723,Orpí,081521
102,2012,2.8413,Oristà,081516
103,2012,9.0393,Orís,081509
104,2012,5.5059,Olost,081496
105,2012,19.8259,Montornès del Vallès,081363
106,2012,10.1851,Olesa de Montserrat,081477
107,2012,0.1909,Montseny,081379
108,2012,48.0419,Olèrdola,081458
109,2012,4.3289,Olvan,081445
110,2012,16.8614,Òdena,081430
111,2012,0.5119,"Nou de Berguedà, la",081424
112,2012,3.9279,Navàs,081419
113,2012,19.1052,Navarcles,081402
114,2012,2.3068,Mura,081398
115,2012,14.0445,"Masies de Voltregà, les",081173
116,2012,57.3636,Olivella,081483
117,2012,7.3131,Font-rubí,080850
118,2012,2.7736,"Granada, la",080945
119,2012,0.0,Gisclareny,080930
120,2012,17.9519,Gironella,080924
121,2012,17.9671,Gelida,080919
122,2012,0.8221,Gaià,080902
123,2012,76.3527,Gavà,080898
124,2012,18.0757,"Garriga, la",080885
125,2012,61.8214,Masquefa,081192
126,2012,31.561,"Franqueses del Vallès, les",080863
127,2012,5.3063,Gualba,080977
128,2012,23.3296,Fonollosa,080847
129,2012,5.0232,Folgueroles,080832
130,2012,11.0083,Fogars de la Selva,080826
131,2012,1.6599,Fogars de Montclús,080811
132,2012,0.2987,Fígols,080804
133,2012,2.9064,"Estany, l'",080790
134,2012,24.0498,Palau-solità i Plegamans,081568
135,2012,1.3416,Gallifa,080879
136,2012,57.2392,Lliçà d'Amunt,081075
137,2012,0.8202,"Masies de Roda, les",081167
138,2012,24.1233,Martorelles,081154
139,2012,56.1427,Martorell,081141
140,2012,85.0089,Manresa,081136
141,2012,20.7183,Manlleu,081120
142,2012,0.0,Malla,081115
143,2012,18.9909,Malgrat de Mar,081108
144,2012,0.1842,Granera,080958
145,2012,15.657,Lliçà de Vall,081081
146,2012,94.2527,Granollers,080961
147,2012,29.8048,Llinars del Vallès,081069
148,2012,9.6485,"Llagosta, la",081056
149,2012,1.4605,Jorba,081038
150,2012,125.2365,"Hospitalet de Llobregat, l'",081017
151,2012,9.5208,Gurb,081000
152,2012,1.6887,Guardiola de Berguedà,080996
