,Literal,Poblacio activa,Codi
0,Abella de la Conca,112.0,250019
1,Abrera,8044.0,080018
2,Agramunt,3669.0,250030
3,Aguilar de Segarra,159.0,080023
4,Agullana,519.0,170010
5,Aiguafreda,1578.0,080142
6,Aiguamúrcia,595.0,430017
7,Aiguaviva,489.0,170025
8,Aitona,1483.0,250387
9,Albanyà,97.0,170031
10,Albatàrrec,1473.0,250077
11,Albesa,1066.0,250083
12,Albinyana,1496.0,430022
13,Albons,469.0,170046
14,Alcanar,6941.0,430043
15,Alcanó,142.0,250100
16,Alcarràs,6064.0,250117
17,Alcoletge,2267.0,250122
18,Alcover,3365.0,430056
19,Aldover,560.0,430069
20,Alella,6416.0,080039
21,Alfara de Carles,243.0,430081
22,Alfarràs,1928.0,250138
23,Alforja,1211.0,430094
24,Alfés,213.0,250143
25,Algerri,246.0,250156
26,Alguaire,2036.0,250169
27,Alins,182.0,250175
28,Alió,257.0,430108
29,Almacelles,4412.0,250194
30,Almatret,205.0,250208
31,Almenar,2355.0,250215
32,Almoster,938.0,430115
33,Alp,1255.0,170062
34,Alpens,192.0,080044
35,Alpicat,4173.0,250236
36,Alt Àneu,308.0,250241
37,Altafulla,3273.0,430120
38,Alàs i Cerc,221.0,250058
39,Alòs de Balaguer,73.0,250220
40,Amer,1425.0,170078
41,Amposta,14285.0,430141
42,Anglesola,829.0,250273
43,Anglès,3646.0,170084
44,Arbeca,1507.0,250292
45,Arbolí,81.0,430154
46,Arbúcies,4358.0,170097
47,Arenys de Mar,9708.0,080060
48,Arenys de Munt,5633.0,080076
49,Argelaguer,272.0,170101
50,Argentona,7785.0,080095
51,Argençola,173.0,080082
52,Arnes,257.0,430189
53,Arres,49.0,250313
54,Arsèguel,59.0,250328
55,Artesa de Lleida,926.0,250334
56,Artesa de Segre,2391.0,250349
57,Artés,3680.0,080109
58,Ascó,1127.0,430192
59,Aspa,119.0,250365
60,Avinyonet de Puigventós,1025.0,170123
61,Avinyonet del Penedès,1093.0,080137
62,Avinyó,1441.0,080121
63,Avià,1440.0,080116
64,Badalona,147.18,080155
65,Badia del Vallès,8910.0,089045
66,Bagà,1560.0,080168
67,Baix Pallars,222.0,250390
68,Balaguer,11031.0,250404
69,Balenyà,2478.0,080174
70,Balsareny,2289.0,080180
71,Banyeres del Penedès,1967.0,430206
72,Banyoles,12355.0,170157
73,Barbens,561.0,250411
74,Barberà de la Conca,326.0,430213
75,Barberà del Vallès,22341.0,082520
76,Barcelona,1060.4209999999998,080193
77,Bassella,151.0,250447
78,Batea,1255.0,430228
79,Bausen,29.0,250450
80,Begues,4422.0,080207
81,Begur,2760.0,170139
82,Belianes,310.0,250463
83,Bellaguarda,190.0,251706
84,Bellmunt del Priorat,205.0,430234
85,Bellprat,58.0,080214
86,Bellpuig,3259.0,250501
87,Bellvei,1345.0,430249
88,Bellver de Cerdanya,1527.0,250518
89,Bellvís,1514.0,250523
90,Benavent de Segrià,1005.0,250539
91,Benifallet,448.0,430252
92,Benissanet,791.0,430265
93,Berga,10780.0,080229
94,Besalú,1515.0,170195
95,Bescanó,3011.0,170209
96,Beuda,106.0,170216
97,Biosca,133.0,250557
98,Biure,162.0,172348
99,Blancafort,263.0,430290
100,Blanes,26396.0,170237
101,Boadella i les Escaules,177.0,170293
102,Bolvir,281.0,170242
103,Bonastre,437.0,430304
104,Bordils,1132.0,170255
105,Borrassà,448.0,170268
106,Borredà,355.0,080240
107,Bossòst,815.0,250595
108,Bot,386.0,430326
109,Botarell,762.0,430332
110,Bovera,169.0,250560
111,Breda,2418.0,170274
112,Bràfim,425.0,430347
113,Bàscara,584.0,170160
114,Cabacés,205.0,430350
115,Cabanabona,48.0,250609
116,Cabanelles,155.0,170314
117,Cabanes,2407.0,170307
118,Cabra del Camp,732.0,430363
119,Cabrera de Mar,3063.0,080291
120,Cabrils,4726.0,080305
121,Cabó,58.0,250616
122,Cadaqués,1931.0,170329
123,Calaf,2257.0,080312
124,Calafell,16453.0,430379
125,Calders,612.0,080348
126,Caldes de Malavella,4682.0,170335
127,Caldes de Montbui,11445.0,080333
128,Calella,12071.0,080351
129,Calldetenes,1683.0,080370
130,Callús,1195.0,080386
131,Calonge de Segarra,117.0,170340
132,Camarasa,585.0,250621
133,Camarles,2231.0,439039
134,Cambrils,22683.0,430385
135,Campdevànol,2105.0,170366
136,Campelles,88.0,170372
137,Campins,336.0,080399
138,Campllong,326.0,170388
139,Camprodon,1533.0,170391
140,Camós,418.0,170353
141,Canejan,70.0,250637
142,Canet de Mar,9143.0,080403
143,Canovelles,10740.0,080410
144,Cantallops,199.0,170412
145,Canyelles,2925.0,080431
146,Capafonts,74.0,430398
147,Capellades,3532.0,080446
148,Capmany,381.0,170427
149,Capolat,54.0,080459
150,Capçanes,266.0,430402
151,Cardedeu,11617.0,080462
152,Cardona,3136.0,080478
153,Carme,553.0,080484
154,Caseres,164.0,430419
155,Casserres,1000.0,080497
156,Cassà de la Selva,6500.0,170448
157,Castell de Mur,102.0,259046
158,Castellar de la Ribera,92.0,250642
159,Castellar del Riu,112.0,080500
160,Castellar del Vallès,15670.0,080517
161,Castellbell i el Vilar,2399.0,080538
162,Castellbisbal,8286.0,080543
163,Castellcir,411.0,080556
164,Castelldans,645.0,250674
165,Castelldefels,22396.585,080569
166,Castellet i la Gornal,1454.0,080581
167,Castellfollit de Riubregós,121.0,080608
168,Castellfollit de la Roca,608.0,170464
169,Castellfollit del Boix,256.0,080594
170,Castellgalí,1310.0,080615
171,Castellnou de Bages,797.0,080620
172,Castellnou de Seana,462.0,250680
173,Castellolí,363.0,080636
174,Castellserà,647.0,250707
175,Castellterçol,1500.0,080641
176,Castellvell del Camp,1913.0,430424
177,Castellví de Rosanes,1171.0,080667
178,Castellví de la Marca,1029.0,080654
179,Castelló de Farfanya,327.0,250693
180,Cava,40.0,250714
181,Celrà,3298.0,170499
182,Centelles,4736.0,080673
183,Cercs,796.0,082687
184,Cerdanyola del Vallès,33597.083,082665
185,Cervelló,5946.0,080689
186,Cervera,6113.0,250729
187,Cervià de Ter,561.0,170502
188,Cervià de les Garrigues,448.0,250735
189,Cistella,173.0,170519
190,Ciutadilla,127.0,250740
191,Clariana de Cardener,101.0,250753
192,Colera,344.0,170545
193,Coll de Nargó,382.0,250772
194,Collbató,2823.0,080692
195,Colldejou,126.0,430458
196,Collsuspina,226.0,080706
197,Colomers,122.0,170558
198,Conca de Dalt,262.0,251615
199,Conesa,90.0,430461
200,Constantí,4496.0,430477
201,Copons,200.0,080713
202,Corbera de Llobregat,9642.0,080728
203,Corbins,908.0,250788
204,Cornellà de Llobregat,17354.995,080734
205,Cornellà del Terri,1432.0,170561
206,Cornudella de Montsant,647.0,430496
207,Corçà,837.0,170577
208,Creixell,2183.0,430509
209,Crespià,159.0,170583
210,Cubelles,9594.0,080749
211,Cubells,230.0,250791
212,Cunit,8048.0,430516
213,Cànoves i Samalús,1880.0,080425
214,Darnius,337.0,170600
215,Das,145.0,170617
216,Deltebre,7802.0,439018
217,Dosrius,3553.0,080752
218,Duesaigües,157.0,430537
219,Esparreguera,14799.0,080765
220,Espinelves,123.0,170638
221,Esplugues de Llobregat,30668.0,080771
222,Espolla,257.0,170643
223,Esponellà,265.0,170656
224,Espot,238.0,250827
225,Estamariu,65.0,250886
226,Estaràs,108.0,250851
227,Esterri de Cardós,52.0,250870
228,Falset,1835.0,430555
229,Farrera,91.0,250899
230,Figueres,29795.0,170669
231,Figuerola del Camp,208.0,430593
232,Flaçà,670.0,170675
233,Flix,2522.0,430607
234,Fogars de Montclús,275.0,080811
235,Fogars de la Selva,1033.0,080826
236,Foixà,186.0,170681
237,Folgueroles,1388.0,080832
238,Fondarella,563.0,250931
239,Fonollosa,983.0,080847
240,Fontanals de Cerdanya,337.0,170694
241,Fontanilles,94.0,170708
242,Fontcoberta,949.0,170715
243,Foradada,115.0,250946
244,Forallac,1155.0,179026
245,Fornells de la Selva,1607.0,170736
246,Fortià,406.0,170741
247,Forès,32.0,430614
248,Freginals,288.0,430629
249,Fulleda,63.0,250978
250,Fígols,25.0,080804
251,Fígols i Alinyà,160.0,259084
252,Gaià,116.0,080902
253,Gallifa,142.0,080879
254,Gandesa,2018.0,430640
255,Garcia,347.0,430653
256,Garrigoles,100.0,170767
257,Garriguella,539.0,170773
258,Garrigàs,240.0,170754
259,Gavet de la Conca,170.0,250984
260,Gavà,31192.0,080898
261,Gelida,4694.0,080919
262,Ger,311.0,170789
263,Gimenells i el Pla de la Font,704.0,259123
264,Ginestar,552.0,430672
265,Girona,7469.927999999999,170792
266,Gironella,3164.0,080924
267,Gisclareny,27.0,080930
268,Godall,456.0,430688
269,Golmés,1127.0,250997
270,Gombrèn,133.0,170806
271,Granera,61.0,080958
272,Granollers,30659.674,080961
273,Granyanella,91.0,251039
274,Granyena de Segarra,74.0,251044
275,Granyena de les Garrigues,112.0,251057
276,Gratallops,169.0,430691
277,Gualba,901.0,080977
278,Gualta,263.0,170813
279,Guardiola de Berguedà,634.0,080996
280,Guils de Cerdanya,404.0,170828
281,Guimerà,165.0,251095
282,Guissona,4670.0,251109
283,Guixers,88.0,251116
284,Gurb,1710.0,081000
285,Gósol,157.0,251001
286,Horta de Sant Joan,762.0,430712
287,Hostalric,2656.0,170834
288,Igualada,25189.0,081022
289,Isona i Conca Dellà,637.0,251155
290,Isòvol,231.0,170849
291,Ivars de Noguera,230.0,251121
292,Ivorra,64.0,251142
293,Jafre,264.0,170852
294,Jorba,521.0,081038
295,Josa i Tuixén,95.0,259101
296,Juià,212.0,170871
297,Juncosa,275.0,251180
298,Juneda,2199.0,251193
299,Les,712.0,251214
300,Linyola,1670.0,251229
301,Lladorre,158.0,251235
302,Lladurs,111.0,251240
303,Lladó,461.0,170887
304,Llagostera,5292.0,170890
305,Llambilles,448.0,170904
306,Llanars,369.0,170911
307,Llançà,3261.0,170926
308,Llardecans,286.0,251253
309,Llavorsí,235.0,251266
310,Lleida,92.53099999999998,251207
311,Llers,753.0,170932
312,Lles de Cerdanya,177.0,251272
313,Llimiana,113.0,251288
314,Llinars del Vallès,6325.0,081069
315,Lliçà de Vall,4273.0,081081
316,Llobera,127.0,251291
317,Llorac,70.0,430733
318,Llorenç del Penedès,1427.0,430748
319,Lloret de Mar,28661.0,170950
320,Lluçà,170.0,081094
321,Llívia,1196.0,170947
322,Madremanya,164.0,170979
323,Maials,566.0,251333
324,Maià de Montcal,265.0,170985
325,Maldà,144.0,251305
326,Malgrat de Mar,12190.0,081108
327,Malla,176.0,081115
328,Manlleu,12956.0,081120
329,Manresa,19070.006,081136
330,Margalef,70.0,430751
331,Marganell,204.0,082423
332,Martorell,18240.0,081141
333,Martorelles,3268.0,081154
334,Marçà,381.0,430764
335,Mas de Barberans,389.0,430770
336,Masarac,177.0,171002
337,Masdenverge,734.0,430786
338,Masllorenç,326.0,430799
339,Maspujols,474.0,430810
340,Masquefa,5548.0,081192
341,Massalcoreig,369.0,251312
342,Massanes,484.0,171019
343,Massoteres,122.0,251327
344,Matadepera,5647.0,081206
345,Mataró,82.66800000000002,081213
346,Maçanet de Cabrenys,419.0,171024
347,Maçanet de la Selva,4748.0,171030
348,Mediona,1450.0,081228
349,Menàrguens,546.0,251348
350,Meranges,54.0,170998
351,Mieres,28306.0,171058
352,Miralcamp,938.0,251351
353,Miravet,469.0,430846
354,Moià,3714.0,081385
355,Molins de Rei,16406.0,081234
356,Mollerussa,10004.0,251370
357,Mollet de Peralada,100.0,171061
358,Mollet del Vallès,27026.355,081249
359,Molló,218.0,171077
360,Monistrol de Calders,445.0,081287
361,Monistrol de Montserrat,1981.0,081271
362,Montagut i Oix,635.0,171096
363,Montblanc,4918.0,430862
364,Montbrió del Camp,1685.0,430884
365,Montcada i Reixac,23297.0,081252
366,Montclar,66.0,081304
367,Montellà i Martinet,459.0,251399
368,Montesquiu,588.0,081311
369,Montferrer i Castellbò,714.0,251403
370,Montferri,243.0,430897
371,Montgai,407.0,251386
372,Montgat,7505.0,081265
373,Montmajor,300.0,081326
374,Montmaneu,116.0,081332
375,Montmeló,5936.0,081350
376,Montoliu de Lleida,328.0,251425
377,Montoliu de Segarra,116.0,251410
378,Montornès de Segarra,53.0,251431
379,Montornès del Vallès,10932.0,081363
380,Montseny,198.0,081379
381,Muntanyola,400.0,081290
382,Mura,156.0,081398
383,Móra la Nova,2092.0,430944
384,Nalec,55.0,251459
385,Naut Aran,1255.0,250254
386,Navarcles,3954.0,081402
387,Navata,781.0,171117
388,Navàs,3908.0,081419
389,Navès,172.0,251462
390,Nulles,288.0,430982
391,Odèn,176.0,251484
392,Ogassa,168.0,171122
393,Olesa de Bonesvalls,1174.0,081461
394,Olesa de Montserrat,15872.0,081477
395,Oliana,1208.0,251497
396,Oliola,140.0,251500
397,Olius,560.0,251517
398,Olivella,2519.0,081483
399,Olost,758.0,081496
400,Olot,21741.0,171143
401,Olvan,562.0,081445
