,Literal,Codi,Any,Aturats
0,Abella de la Conca,250019,2012,11.9
1,Abrera,080018,2012,961.2
2,Àger,250024,2012,12.8
3,Agramunt,250030,2012,372.0
4,Aguilar de Segarra,080023,2012,9.1
5,Agullana,170010,2012,41.0
6,Aiguafreda,080142,2012,189.8
7,Aiguamúrcia,430017,2012,72.8
8,Aiguaviva,170025,2012,30.3
9,Aitona,250387,2012,158.5
10,"Alamús, els",250045,2012,36.6
11,Alàs i Cerc,250058,2012,11.7
12,"Albagés, l'",250061,2012,22.3
13,Albanyà,170031,2012,10.3
14,Albatàrrec,250077,2012,125.3
15,Albesa,250083,2012,90.6
16,"Albi, l'",250096,2012,62.3
17,Albinyana,430022,2012,290.8
18,"Albiol, l'",430038,2012,22.9
19,Albons,170046,2012,43.4
20,Alcanar,430043,2012,655.4
21,Alcanó,250100,2012,5.6
22,Alcarràs,250117,2012,779.1
23,Alcoletge,250122,2012,240.0
24,Alcover,430056,2012,442.8
25,"Aldea, l'",439044,2012,350.4
26,Aldover,430069,2012,59.8
27,"Aleixar, l'",430075,2012,56.4
28,Alella,080039,2012,485.2
29,Alfara de Carles,430081,2012,31.5
30,Alfarràs,250138,2012,246.2
31,Alfés,250143,2012,11.0
32,Alforja,430094,2012,171.5
33,Algerri,250156,2012,23.3
34,Alguaire,250169,2012,247.3
35,Alins,250175,2012,7.8
36,Alió,430108,2012,35.0
37,Almacelles,250194,2012,382.6
38,Almatret,250208,2012,9.4
39,Almenar,250215,2012,275.1
40,Almoster,430115,2012,55.6
41,Alòs de Balaguer,250220,2012,6.9
42,Alp,170062,2012,64.6
43,Alpens,080044,2012,18.3
44,Alpicat,250236,2012,321.2
45,Alt Àneu,250241,2012,12.3
46,Altafulla,430120,2012,320.5
47,Amer,170078,2012,131.3
48,"Ametlla de Mar, l'",430136,2012,529.0
49,"Ametlla del Vallès, l'",080057,2012,496.7
50,"Ampolla, l'",439060,2012,246.7
51,Amposta,430141,2012,2111.3
52,Anglès,170084,2012,442.2
53,Anglesola,250273,2012,73.3
54,Arbeca,250292,2012,141.9
55,"Arboç, l'",430167,2012,632.7
56,Arbolí,430154,2012,3.8
57,Arbúcies,170097,2012,494.2
58,Arenys de Mar,080060,2012,1168.5
59,Arenys de Munt,080076,2012,690.3
60,Argelaguer,170101,2012,27.7
61,Argençola,080082,2012,6.5
62,"Argentera, l'",430173,2012,10.8
63,Argentona,080095,2012,894.5
64,"Armentera, l'",170118,2012,43.2
65,Arnes,430189,2012,17.8
66,Arres,250313,2012,1.3
67,Arsèguel,250328,2012,3.3
68,Artés,080109,2012,451.8
69,Artesa de Lleida,250334,2012,90.8
70,Artesa de Segre,250349,2012,199.7
71,Ascó,430192,2012,78.6
72,Aspa,250365,2012,7.2
73,"Avellanes i Santa Linya, les",250371,2012,13.0
74,Avià,080116,2012,136.8
75,Avinyó,080121,2012,159.8
76,Avinyonet de Puigventós,170123,2012,100.4
77,Avinyonet del Penedès,080137,2012,112.0
78,Badalona,080155,2012,23186.9
79,Badia del Vallès,089045,2012,1863.0
80,Bagà,080168,2012,189.4
81,Baix Pallars,250390,2012,21.8
82,Balaguer,250404,2012,1705.6
83,Balenyà,080174,2012,401.2
84,Balsareny,080180,2012,290.2
85,Banyeres del Penedès,430206,2012,281.5
86,Banyoles,170157,2012,1188.2
87,Barbens,250411,2012,45.8
88,Barberà de la Conca,430213,2012,29.3
89,Barberà del Vallès,082520,2012,3092.1
90,Barcelona,080193,2012,112471.1
91,"Baronia de Rialb, la",250426,2012,6.6
92,Bàscara,170160,2012,53.7
93,Bassella,250447,2012,3.8
94,Batea,430228,2012,86.6
95,Bausen,250450,2012,3.2
96,Begues,080207,2012,342.8
97,Begur,170139,2012,265.5
98,Belianes,250463,2012,29.4
99,Bellaguarda,251706,2012,6.7
100,Bellcaire d'Empordà,170182,2012,42.4
101,Bellcaire d'Urgell,250479,2012,71.5
102,Bell-lloc d'Urgell,250485,2012,118.6
103,Bellmunt d'Urgell,250498,2012,8.8
104,Bellmunt del Priorat,430234,2012,25.6
105,Bellprat,080214,2012,2.6
106,Bellpuig,250501,2012,320.2
107,Bellvei,430249,2012,212.0
108,Bellver de Cerdanya,250518,2012,89.3
109,Bellvís,250523,2012,134.3
110,Benavent de Segrià,250539,2012,79.0
111,Benifallet,430252,2012,38.2
112,Benissanet,430265,2012,68.1
113,Berga,080229,2012,1571.0
114,Besalú,170195,2012,134.7
115,Bescanó,170209,2012,258.3
116,Beuda,170216,2012,5.9
117,Bigues i Riells del Fai,080235,2012,705.4
118,Biosca,250557,2012,4.8
119,"Bisbal d'Empordà, la",170221,2012,1166.8
120,"Bisbal de Falset, la",430271,2012,7.9
121,"Bisbal del Penedès, la",430287,2012,421.1
122,Biure,172348,2012,17.7
123,Blancafort,430290,2012,26.7
124,Blanes,170237,2012,3888.3
125,Boadella i les Escaules,170293,2012,17.8
126,Bolvir,170242,2012,11.3
127,Bonastre,430304,2012,72.8
128,"Bòrdes, Es",250576,2012,7.4
129,Bordils,170255,2012,100.2
130,"Borges Blanques, les",250582,2012,424.6
131,"Borges del Camp, les",430311,2012,145.8
132,Borrassà,170268,2012,28.8
133,Borredà,080240,2012,30.9
134,Bossòst,250595,2012,54.7
135,Bot,430326,2012,26.8
136,Botarell,430332,2012,91.6
137,Bovera,250560,2012,5.2
138,Bràfim,430347,2012,38.9
139,Breda,170274,2012,300.3
140,"Bruc, el",080253,2012,139.8
141,"Brull, el",080266,2012,4.9
142,Brunyola i Sant Martí Sapresa,170280,2012,14.9
143,Cabacés,430350,2012,21.9
144,Cabanabona,250609,2012,3.3
145,Cabanelles,170314,2012,14.1
146,Cabanes,170307,2012,61.7
147,"Cabanyes, les",080272,2012,54.0
148,Cabó,250616,2012,2.7
149,Cabra del Camp,430363,2012,129.0
150,Cabrera d'Anoia,080288,2012,162.3
151,Cabrera de Mar,080291,2012,214.5
152,Cabrils,080305,2012,360.1
153,Cadaqués,170329,2012,98.3
154,Calaf,080312,2012,308.7
155,Calafell,430379,2012,2569.9
156,Calders,080348,2012,57.3
157,Caldes d'Estrac,080327,2012,171.8
158,Caldes de Malavella,170335,2012,569.6
159,Caldes de Montbui,080333,2012,1376.4
160,Calella,080351,2012,1757.3
161,Calldetenes,080370,2012,171.1
162,Callús,080386,2012,153.4
163,Calonge de Segarra,080364,2012,9.7
164,Calonge i Sant Antoni,170340,2012,846.1
165,Camarasa,250621,2012,40.6
166,Camarles,439039,2012,306.9
167,Cambrils,430385,2012,2690.4
168,Camós,170353,2012,27.1
169,Campdevànol,170366,2012,207.6
170,Campelles,170372,2012,5.1
171,Campins,080399,2012,34.8
172,Campllong,170388,2012,26.0
173,Camprodon,170391,2012,138.7
174,Canejan,250637,2012,3.2
175,Canet d'Adri,170405,2012,23.3
176,Canet de Mar,080403,2012,1250.8
177,"Canonja, la",439076,2012,440.6
178,Canovelles,080410,2012,1972.2
179,Cànoves i Samalús,080425,2012,219.1
180,Cantallops,170412,2012,18.1
181,Canyelles,080431,2012,433.3
182,Capafonts,430398,2012,7.0
183,Capçanes,430402,2012,19.3
184,Capellades,080446,2012,445.8
185,Capmany,170427,2012,29.8
186,Capolat,080459,2012,3.8
187,Cardedeu,080462,2012,1370.5
188,Cardona,080478,2012,324.3
189,Carme,080484,2012,71.1
190,Caseres,430419,2012,20.2
191,Cassà de la Selva,170448,2012,711.3
192,Casserres,080497,2012,99.4
193,Castell de l'Areny,080575,2012,5.2
194,Castell de Mur,259046,2012,9.7
195,Castellar de la Ribera,250642,2012,4.3
196,Castellar de n'Hug,080522,2012,8.9
197,Castellar del Riu,080500,2012,5.2
198,Castellar del Vallès,080517,2012,2010.7
199,Castellbell i el Vilar,080538,2012,324.2
200,Castellbisbal,080543,2012,946.5
201,Castellcir,080556,2012,30.9
202,Castelldans,250674,2012,45.4
203,Castelldefels,080569,2012,4697.8
204,Castellet i la Gornal,080581,2012,182.9
205,Castellfollit de la Roca,170464,2012,53.8
206,Castellfollit de Riubregós,080608,2012,11.4
207,Castellfollit del Boix,080594,2012,15.1
208,Castellgalí,080615,2012,184.7
209,Castellnou de Bages,080620,2012,82.0
210,Castellnou de Seana,250680,2012,38.2
211,Castelló d'Empúries,170470,2012,880.1
212,Castelló de Farfanya,250693,2012,22.2
213,Castellolí,080636,2012,27.1
214,Castell-Platja d'Aro,170486,2012,696.3
215,Castellserà,250707,2012,52.9
216,Castellterçol,080641,2012,148.0
217,Castellvell del Camp,430424,2012,144.8
218,Castellví de la Marca,080654,2012,112.8
219,Castellví de Rosanes,080667,2012,113.6
220,"Catllar, el",430430,2012,275.8
221,Cava,250714,2012,1.8
222,"Cellera de Ter, la",171899,2012,125.5
223,Celrà,170499,2012,288.6
224,Centelles,080673,2012,618.0
225,Cercs,082687,2012,104.5
226,Cerdanyola del Vallès,082665,2012,4896.3
227,Cervelló,080689,2012,679.3
228,Cervera,250729,2012,797.5
229,Cervià de les Garrigues,250735,2012,50.3
230,Cervià de Ter,170502,2012,51.8
231,Cistella,170519,2012,16.3
232,Ciutadilla,250740,2012,11.9
233,Clariana de Cardener,250753,2012,5.3
234,"Cogul, el",250766,2012,7.8
235,Colera,170545,2012,30.8
236,Coll de Nargó,250772,2012,28.5
237,Collbató,080692,2012,246.0
238,Colldejou,430458,2012,16.5
239,Collsuspina,080706,2012,17.2
240,Colomers,170558,2012,4.5
241,"Coma i la Pedra, la",251636,2012,10.8
242,Conca de Dalt,251615,2012,20.2
243,Conesa,430461,2012,4.4
244,Constantí,430477,2012,715.7
245,Copons,080713,2012,27.0
246,Corbera d'Ebre,430483,2012,52.5
247,Corbera de Llobregat,080728,2012,979.7
248,Corbins,250788,2012,67.7
249,Corçà,170577,2012,80.5
250,Cornellà de Llobregat,080734,2012,8407.2
251,Cornellà del Terri,170561,2012,113.9
252,Cornudella de Montsant,430496,2012,60.9
253,Creixell,430509,2012,354.7
254,Crespià,170583,2012,12.2
255,"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,2012,70.3
256,Cubelles,080749,2012,1325.8
257,Cubells,250791,2012,14.2
258,Cunit,430516,2012,1201.1
259,Darnius,170600,2012,33.8
260,Das,170617,2012,6.0
261,Deltebre,439018,2012,1221.4
262,Dosrius,080752,2012,452.5
263,Duesaigües,430537,2012,19.6
264,"Escala, l'",170622,2012,693.2
265,Esparreguera,080765,2012,2112.7
266,Espinelves,170638,2012,5.2
267,"Espluga Calba, l'",250812,2012,16.8
268,"Espluga de Francolí, l'",430542,2012,256.9
269,Esplugues de Llobregat,080771,2012,3549.7
270,Espolla,170643,2012,16.2
271,Esponellà,170656,2012,24.3
272,Espot,250827,2012,10.8
273,"Espunyola, l'",080787,2012,18.6
274,"Esquirol, l'",082541,2012,131.3
275,Estamariu,250886,2012,3.5
276,"Estany, l'",080790,2012,21.3
277,Estaràs,250851,2012,3.9
278,Esterri d'Àneu,250864,2012,45.1
279,Esterri de Cardós,250870,2012,2.8
280,Falset,430555,2012,243.8
281,"Far d'Empordà, el",170059,2012,39.8
282,Farrera,250899,2012,5.5
283,"Fatarella, la",430568,2012,54.8
284,"Febró, la",430574,2012,3.0
285,Figaró-Montmany,081347,2012,99.5
286,Fígols,080804,2012,1.8
287,Fígols i Alinyà,259084,2012,6.5
288,"Figuera, la",430580,2012,6.0
289,Figueres,170669,2012,4490.8
290,Figuerola del Camp,430593,2012,22.7
291,Flaçà,170675,2012,78.6
292,Flix,430607,2012,173.1
293,"Floresta, la",250925,2012,8.5
294,Fogars de la Selva,080826,2012,175.8
295,Fogars de Montclús,080811,2012,29.4
296,Foixà,170681,2012,6.9
297,Folgueroles,080832,2012,114.0
298,Fondarella,250931,2012,39.3
299,Fonollosa,080847,2012,111.1
300,Fontanals de Cerdanya,170694,2012,15.4
301,Fontanilles,170708,2012,6.5
302,Fontcoberta,170715,2012,52.4
303,Font-rubí,080850,2012,101.2
304,Foradada,250946,2012,10.5
305,Forallac,179026,2012,108.3
306,Forès,430614,2012,1.9
307,Fornells de la Selva,170736,2012,101.4
308,Fortià,170741,2012,35.4
309,"Franqueses del Vallès, les",080863,2012,1795.2
310,Freginals,430629,2012,24.0
311,"Fuliola, la",250962,2012,85.7
312,Fulleda,250978,2012,2.9
313,Gaià,080902,2012,12.9
314,"Galera, la",430635,2012,54.2
315,Gallifa,080879,2012,9.4
316,Gandesa,430640,2012,206.5
317,Garcia,430653,2012,34.1
318,"Garidells, els",430666,2012,11.3
319,"Garriga, la",080885,2012,1152.3
320,Garrigàs,170754,2012,22.9
321,Garrigoles,170767,2012,8.6
322,Garriguella,170773,2012,52.6
323,Gavà,080898,2012,3940.6
324,Gavet de la Conca,250984,2012,12.8
325,Gelida,080919,2012,547.2
326,Ger,170789,2012,11.3
327,Gimenells i el Pla de la Font,259123,2012,44.5
328,Ginestar,430672,2012,69.8
329,Girona,170792,2012,7574.2
330,Gironella,080924,2012,423.2
331,Gisclareny,080930,2012,1.0
332,Godall,430688,2012,48.3
333,Golmés,250997,2012,104.7
334,Gombrèn,170806,2012,12.0
335,Gósol,251001,2012,7.2
336,"Granada, la",080945,2012,147.1
337,"Granadella, la",251018,2012,28.7
338,Granera,080958,2012,2.7
339,"Granja d'Escarp, la",251023,2012,53.5
340,Granollers,080961,2012,5897.0
341,Granyanella,251039,2012,9.7
342,Granyena de les Garrigues,251057,2012,8.3
343,Granyena de Segarra,251044,2012,1.9
344,Gratallops,430691,2012,8.3
345,Gualba,080977,2012,91.8
346,Gualta,170813,2012,24.0
347,Guardiola de Berguedà,080996,2012,95.3
348,"Guiamets, els",430705,2012,16.4
349,Guils de Cerdanya,170828,2012,23.6
350,Guimerà,251095,2012,11.8
351,"Guingueta d'Àneu, la",259031,2012,10.5
352,Guissona,251109,2012,267.6
353,Guixers,251116,2012,1.3
354,Gurb,081000,2012,97.8
355,Horta de Sant Joan,430712,2012,79.2
356,"Hospitalet de Llobregat, l'",081017,2012,23637.9
357,"Hostalets de Pierola, els",081629,2012,237.0
358,Hostalric,170834,2012,366.2
359,Igualada,081022,2012,3782.4
360,Isona i Conca Dellà,251155,2012,40.6
361,Isòvol,170849,2012,11.0
362,Ivars d'Urgell,251137,2012,68.6
363,Ivars de Noguera,251121,2012,18.5
364,Ivorra,251142,2012,2.3
365,Jafre,170852,2012,19.0
366,"Jonquera, la",170865,2012,262.6
367,Jorba,081038,2012,53.9
368,Josa i Tuixén,259101,2012,4.5
369,Juià,170871,2012,14.7
370,Juncosa,251180,2012,15.6
371,Juneda,251193,2012,166.8
372,Les,251214,2012,45.1
373,Linyola,251229,2012,153.7
374,"Llacuna, la",081043,2012,55.4
375,Lladó,170887,2012,33.8
376,Lladorre,251235,2012,4.8
377,Lladurs,251240,2012,6.3
378,"Llagosta, la",081056,2012,1500.2
379,Llagostera,170890,2012,695.9
380,Llambilles,170904,2012,27.1
381,Llanars,170911,2012,19.9
382,Llançà,170926,2012,330.3
383,Llardecans,251253,2012,9.9
384,Llavorsí,251266,2012,16.1
385,Lleida,251207,2012,12136.8
386,Llers,170932,2012,59.0
387,Lles de Cerdanya,251272,2012,7.4
388,Lliçà d'Amunt,081075,2012,1228.3
389,Lliçà de Vall,081081,2012,511.9
390,Llimiana,251288,2012,12.7
391,Llinars del Vallès,081069,2012,864.1
