,Literal,Codi,Any,Demanda
0,Abrera,080018,2020,23
1,Agramunt,250030,2020,2
2,Agullana,170010,2020,3
3,Aiguafreda,080142,2020,1
4,Aitona,250387,2020,1
5,Albatàrrec,250077,2020,2
6,Alcanar,430043,2020,1
7,Alcarràs,250117,2020,10
8,Alcoletge,250122,2020,4
9,Alcover,430056,2020,1
10,Alella,080039,2020,23
11,Alfarràs,250138,2020,1
12,Alforja,430094,2020,1
13,Almacelles,250194,2020,6
14,Alpicat,250236,2020,4
15,Altafulla,430120,2020,5
16,"Ametlla del Vallès, l'",080057,2020,45
17,"Ampolla, l'",439060,2020,2
18,Amposta,430141,2020,34
19,Anglès,170084,2020,4
20,"Arboç, l'",430167,2020,5
21,Arbúcies,170097,2020,1
22,Arenys de Mar,080060,2020,13
23,Arenys de Munt,080076,2020,3
24,Argentona,080095,2020,8
25,"Armentera, l'",170118,2020,1
26,Artés,080109,2020,24
27,Ascó,430192,2020,1
28,Avinyó,080121,2020,8
29,Avinyonet de Puigventós,170123,2020,1
30,Badalona,080155,2020,459
31,Badia del Vallès,089045,2020,28
32,Bagà,080168,2020,1
33,Baix Pallars,250390,2020,3
34,Balaguer,250404,2020,42
35,Balenyà,080174,2020,1
36,Balsareny,080180,2020,4
37,Banyeres del Penedès,430206,2020,4
38,Banyoles,170157,2020,28
39,Barberà del Vallès,082520,2020,75
40,Barcelona,080193,2020,4710
41,Batea,430228,2020,2
42,Begues,080207,2020,30
43,Begur,170139,2020,4
44,Bellmunt d'Urgell,250498,2020,1
45,Bellpuig,250501,2020,8
46,Bellver de Cerdanya,250518,2020,4
47,Berga,080229,2020,32
48,Besalú,170195,2020,2
49,Bescanó,170209,2020,3
50,Bigues i Riells,080235,2020,20
51,"Bisbal del Penedès, la",430287,2020,1
52,"Bisbal d'Empordà, la",170221,2020,25
53,Blancafort,430290,2020,1
54,Blanes,170237,2020,68
55,Bolvir,170242,2020,2
56,Bordils,170255,2020,2
57,"Borges Blanques, les",250582,2020,9
58,"Borges del Camp, les",430311,2020,1
59,Botarell,430332,2020,1
60,"Bruc, el",080253,2020,1
61,Cabrera de Mar,080291,2020,14
62,Cabrils,080305,2020,1
63,Cadaqués,170329,2020,3
64,Calaf,080312,2020,7
65,Calafell,430379,2020,16
66,Caldes de Malavella,170335,2020,4
67,Caldes de Montbui,080333,2020,15
68,Caldes d'Estrac,080327,2020,1
69,Calella,080351,2020,13
70,Calldetenes,080370,2020,3
71,Callús,080386,2020,11
72,Cambrils,430385,2020,108
73,Campdevànol,170366,2020,3
74,Canet de Mar,080403,2020,10
75,"Canonja, la",439076,2020,4
76,Canovelles,080410,2020,33
77,Cànoves i Samalús,080425,2020,1
78,Capellades,080446,2020,3
79,Cardedeu,080462,2020,11
80,Cardona,080478,2020,40
81,Carme,080484,2020,1
82,Cassà de la Selva,170448,2020,5
83,Casserres,080497,2020,1
84,Castellar del Vallès,080517,2020,36
85,Castellbell i el Vilar,080538,2020,1
86,Castellbisbal,080543,2020,57
87,Castellcir,080556,2020,1
88,Castelldefels,080569,2020,158
89,Castellet i la Gornal,080581,2020,2
90,Castellfollit de la Roca,170464,2020,9
91,Castelló d'Empúries,170470,2020,9
92,Castell-Platja d'Aro,170486,2020,13
93,Celrà,170499,2020,1
94,Centelles,080673,2020,16
95,Cerdanyola del Vallès,082665,2020,170
96,Cervelló,080689,2020,4
97,Cervera,250729,2020,8
98,Cervià de Ter,170502,2020,1
99,Constantí,430477,2020,18
100,Corbera de Llobregat,080728,2020,16
101,Corbera d'Ebre,430483,2020,2
102,Cornellà de Llobregat,080734,2020,656
103,Creixell,430509,2020,2
104,Cubelles,080749,2020,12
105,Cunit,430516,2020,8
106,Deltebre,439018,2020,6
107,Dosrius,080752,2020,1
108,"Escala, l'",170622,2020,6
109,Esparreguera,080765,2020,13
110,"Espluga de Francolí, l'",430542,2020,3
111,Esplugues de Llobregat,080771,2020,178
112,"Esquirol, l'",082541,2020,2
113,Esterri d'Àneu,250864,2020,1
114,Falset,430555,2020,3
115,Figueres,170669,2020,145
116,Flaçà,170675,2020,2
117,"Floresta, la",250925,2020,1
118,Folgueroles,080832,2020,4
119,Fontanals de Cerdanya,170694,2020,1
120,Fontcoberta,170715,2020,1
121,Font-rubí,080850,2020,1
