,Any,Equipament,Literal,Codi
0,2012,16.9165,Igualada,081022
1,2012,16.3507,Cardona,080478
2,2012,27.4038,"Llacuna, la",081043
3,2012,6.4467,Castellcir,080556
4,2012,22.4913,Castellbisbal,080543
5,2012,12.6628,Castellbell i el Vilar,080538
6,2012,72.8906,Castellar de n'Hug,080522
7,2012,22.0428,Castellar del Vallès,080517
8,2012,0.0,Castellar del Riu,080500
9,2012,69.9716,Castell de l'Areny,080575
10,2012,18.5936,Carme,080484
11,2012,51.0553,Castellet i la Gornal,080581
12,2012,8.1884,Cardedeu,080462
13,2012,0.0,Capolat,080459
14,2012,7.8639,Capellades,080446
15,2012,20.2365,Canyelles,080431
16,2012,36.2931,Cànoves i Samalús,080425
17,2012,4.8469,Canovelles,080410
18,2012,6.1241,Canet de Mar,080403
19,2012,20.0775,Casserres,080497
20,2012,33.4713,Castellví de Rosanes,080667
21,2012,32.9119,Dosrius,080752
22,2012,10.1704,Cubelles,080749
23,2012,7.3671,Cornellà de Llobregat,080734
24,2012,27.7932,Corbera de Llobregat,080728
25,2012,49.5789,Copons,080713
26,2012,58.5378,Collsuspina,080706
27,2012,16.5939,Collbató,080692
28,2012,21.6667,Castelldefels,080569
29,2012,11.1232,Centelles,080673
30,2012,15.1623,Calldetenes,080370
31,2012,12.2794,Castellví de la Marca,080654
32,2012,20.5041,Castellterçol,080641
33,2012,30.1954,Castellolí,080636
34,2012,45.6063,Castellnou de Bages,080620
35,2012,31.719,Castellgalí,080615
36,2012,26.7775,Castellfollit de Riubregós,080608
37,2012,28.3723,Castellfollit del Boix,080594
38,2012,36.0603,Cervelló,080689
39,2012,11.3387,Argençola,080082
40,2012,12.3431,Balenyà,080174
41,2012,20.189,Bagà,080168
42,2012,7.9335,Badalona,080155
43,2012,23.6779,Aiguafreda,080142
44,2012,24.0911,Avinyonet del Penedès,080137
45,2012,23.9105,Avinyó,080121
46,2012,19.2369,Avià,080116
47,2012,33.9773,Campins,080399
48,2012,17.7837,Argentona,080095
49,2012,25.6295,Begues,080207
50,2012,12.4699,Arenys de Munt,080076
51,2012,12.7784,Arenys de Mar,080060
52,2012,25.8799,"Ametlla del Vallès, l'",080057
53,2012,81.4917,Alpens,080044
54,2012,15.2197,Alella,080039
55,2012,30.8249,Aguilar de Segarra,080023
56,2012,7.0954,Abrera,080018
57,2012,12.9921,Artés,080109
58,2012,68.2678,Cabrera d'Anoia,080288
59,2012,32.1431,"Espunyola, l'",080787
60,2012,83.5738,Calonge,080364
61,2012,9.2144,Calella,080351
62,2012,36.0643,Calders,080348
63,2012,21.5386,Caldes de Montbui,080333
64,2012,7.9138,Caldes d'Estrac,080327
65,2012,23.7682,Calaf,080312
66,2012,27.5512,Balsareny,080180
67,2012,13.5162,Cabrera de Mar,080291
68,2012,6.5268,Barcelona,080193
69,2012,6.7704,"Cabanyes, les",080272
70,2012,77.9217,"Brull, el",080266
71,2012,12.7696,"Bruc, el",080253
72,2012,33.4639,Borredà,080240
73,2012,26.48,Bigues i Riells,080235
74,2012,13.8806,Berga,080229
75,2012,15.6782,Bellprat,080214
76,2012,8.318,Callús,080386
77,2012,11.4201,Cabrils,080305
78,2012,14.6341,Montgat,081265
79,2012,12.9557,Montmeló,081350
80,2012,11.065,Figaró-Montmany,081347
81,2012,63.659,Montmaneu,081332
82,2012,39.7674,Montmajor,081326
83,2012,21.2095,Montesquiu,081311
84,2012,6.6015,Montclar,081304
85,2012,152.6985,Muntanyola,081290
86,2012,7.6093,"Masnou, el",081189
87,2012,48.138,Monistrol de Montserrat,081271
88,2012,13.905,Moià,081385
89,2012,16.9091,Montcada i Reixac,081252
90,2012,12.7342,Mollet del Vallès,081249
91,2012,13.6077,Molins de Rei,081234
92,2012,36.4913,Mediona,081228
93,2012,7.2255,Mataró,081213
94,2012,41.3416,Matadepera,081206
95,2012,11.7307,Esparreguera,080765
96,2012,11.7755,Monistrol de Calders,081287
97,2012,2.1993,Olesa de Bonesvalls,081461
98,2012,13.9226,Palafolls,081555
99,2012,36.1876,Pacs del Penedès,081542
100,2012,38.8205,Òrrius,081537
101,2012,23.2123,Orpí,081521
102,2012,39.7552,Oristà,081516
103,2012,37.5026,Orís,081509
104,2012,44.4509,Olost,081496
105,2012,8.014,Montornès del Vallès,081363
106,2012,7.3293,Olesa de Montserrat,081477
107,2012,15.0031,Montseny,081379
108,2012,50.3456,Olèrdola,081458
109,2012,29.8894,Olvan,081445
110,2012,27.9553,Òdena,081430
111,2012,49.4121,"Nou de Berguedà, la",081424
112,2012,15.0609,Navàs,081419
113,2012,12.9815,Navarcles,081402
114,2012,51.8907,Mura,081398
115,2012,24.117,"Masies de Voltregà, les",081173
116,2012,53.5884,Olivella,081483
117,2012,20.7905,Font-rubí,080850
118,2012,17.5874,"Granada, la",080945
119,2012,0.0,Gisclareny,080930
120,2012,17.5812,Gironella,080924
121,2012,26.1365,Gelida,080919
122,2012,44.569,Gaià,080902
123,2012,9.2586,Gavà,080898
124,2012,10.2558,"Garriga, la",080885
125,2012,17.1703,Masquefa,081192
126,2012,18.1221,"Franqueses del Vallès, les",080863
127,2012,15.1984,Gualba,080977
128,2012,55.5572,Fonollosa,080847
129,2012,15.0822,Folgueroles,080832
130,2012,31.7229,Fogars de la Selva,080826
131,2012,26.9954,Fogars de Montclús,080811
132,2012,27.6982,Fígols,080804
133,2012,50.9715,"Estany, l'",080790
134,2012,11.1739,Palau-solità i Plegamans,081568
135,2012,56.7581,Gallifa,080879
136,2012,35.9265,Lliçà d'Amunt,081075
137,2012,21.4034,"Masies de Roda, les",081167
138,2012,8.1331,Martorelles,081154
139,2012,10.1599,Martorell,081141
140,2012,11.5839,Manresa,081136
141,2012,11.4937,Manlleu,081120
142,2012,0.0,Malla,081115
143,2012,9.4567,Malgrat de Mar,081108
144,2012,48.9582,Granera,080958
145,2012,30.7812,Lliçà de Vall,081081
146,2012,8.2602,Granollers,080961
147,2012,17.5553,Llinars del Vallès,081069
148,2012,3.5034,"Llagosta, la",081056
149,2012,129.6236,Jorba,081038
150,2012,6.1065,"Hospitalet de Llobregat, l'",081017
151,2012,77.8478,Gurb,081000
152,2012,36.9924,Guardiola de Berguedà,080996
153,2012,30.511,Sant Salvador de Guardiola,080983
154,2012,9.3946,Esplugues de Llobregat,080771
155,2012,52.4906,Lluçà,081094
156,2012,19.6455,Meranges,170998
157,2012,6.055,Mont-ras,171100
158,2012,11.6321,Masarac,171002
159,2012,15.2199,Montagut i Oix,171096
160,2012,41.2595,Maçanet de Cabrenys,171024
161,2012,22.5003,Mollet de Peralada,171061
162,2012,33.9455,Maçanet de la Selva,171030
163,2012,28.2968,Molló,171077
164,2012,19.3609,Llívia,170947
165,2012,26.5328,Mieres,171058
166,2012,36.9488,Massanes,171019
167,2012,57.8996,Maià de Montcal,170985
168,2012,98.6514,Madremanya,170979
169,2012,43.0353,Llanars,170911
170,2012,12.6307,Lloret de Mar,170950
171,2012,26.3385,Llers,170932
172,2012,26.1781,Llançà,170926
173,2012,45.5025,Navata,171117
174,2012,29.3762,"Planes d'Hostoles, les",171334
175,2012,8.5873,Llambilles,170904
176,2012,9.5506,Llagostera,170890
177,2012,24.2223,"Llosses, les",170963
178,2012,11.5051,Pardines,171254
179,2012,15.9525,Castelló d'Empúries,170470
180,2012,31.8206,Lladó,170887
181,2012,25.1264,"Preses, les",171390
182,2012,9.5677,Portbou,171387
183,2012,7.5726,Porqueres,171371
184,2012,30.3415,Pontós,171365
