Municipi,NomMun,Codi
Abella de la Conca,Abella de la Conca,250019
Abrera,Abrera,80018
Àger,Àger,250024
Agramunt,Agramunt,250030
Aguilar de Segarra,Aguilar de Segarra,80023
Agullana,Agullana,170010
Aiguafreda,Aiguafreda,80142
Aiguamúrcia,Aiguamúrcia,430017
Aiguaviva,Aiguaviva,170025
Aitona,Aitona,250387
Alàs i Cerc,Alàs i Cerc,250058
Albanyà,Albanyà,170031
Albatàrrec,Albatàrrec,250077
Albesa,Albesa,250083
Albinyana,Albinyana,430022
Albons,Albons,170046
Alcanar,Alcanar,430043
Alcanó,Alcanó,250100
Alcarràs,Alcarràs,250117
Alcoletge,Alcoletge,250122
Alcover,Alcover,430056
Aldover,Aldover,430069
Alella,Alella,80039
Alfara de Carles,Alfara de Carles,430081
Alfarràs,Alfarràs,250138
Alfés,Alfés,250143
Alforja,Alforja,430094
Algerri,Algerri,250156
Alguaire,Alguaire,250169
Alins,Alins,250175
Alió,Alió,430108
Almacelles,Almacelles,250194
Almatret,Almatret,250208
Almenar,Almenar,250215
Almoster,Almoster,430115
Alòs de Balaguer,Alòs de Balaguer,250220
Alp,Alp,170062
Alpens,Alpens,80044
Alpicat,Alpicat,250236
Alt Àneu,Alt Àneu,250241
Altafulla,Altafulla,430120
Amer,Amer,170078
Amposta,Amposta,430141
Anglès,Anglès,170084
Anglesola,Anglesola,250273
Arbeca,Arbeca,250292
Arbolí,Arbolí,430154
Arbúcies,Arbúcies,170097
Arenys de Mar,Arenys de Mar,80060
Arenys de Munt,Arenys de Munt,80076
Argelaguer,Argelaguer,170101
Argençola,Argençola,80082
Argentona,Argentona,80095
Arnes,Arnes,430189
Arres,Arres,250313
Arsèguel,Arsèguel,250328
Artés,Artés,80109
Artesa de Lleida,Artesa de Lleida,250334
Artesa de Segre,Artesa de Segre,250349
Ascó,Ascó,430192
Aspa,Aspa,250365
Avià,Avià,80116
Avinyó,Avinyó,80121
Avinyonet de Puigventós,Avinyonet de Puigventós,170123
Avinyonet del Penedès,Avinyonet del Penedès,80137
Badalona,Badalona,80155
Badia del Vallès,Badia del Vallès,89045
Bagà,Bagà,80168
Baix Pallars,Baix Pallars,250390
Balaguer,Balaguer,250404
Balenyà,Balenyà,80174
Balsareny,Balsareny,80180
Banyeres del Penedès,Banyeres del Penedès,430206
Banyoles,Banyoles,170157
Barbens,Barbens,250411
Barberà de la Conca,Barberà de la Conca,430213
Barberà del Vallès,Barberà del Vallès,82520
Barcelona,Barcelona,80193
Bàscara,Bàscara,170160
Bassella,Bassella,250447
Batea,Batea,430228
Bausen,Bausen,250450
Begues,Begues,80207
Begur,Begur,170139
Belianes,Belianes,250463
Bell-lloc d'Urgell,Bell-lloc d'Urgell,250485
Bellaguarda,Bellaguarda,251706
Bellcaire d'Empordà,Bellcaire d'Empordà,170182
Bellcaire d'Urgell,Bellcaire d'Urgell,250479
Bellmunt d'Urgell,Bellmunt d'Urgell,250498
Bellmunt del Priorat,Bellmunt del Priorat,430234
Bellprat,Bellprat,80214
Bellpuig,Bellpuig,250501
Bellvei,Bellvei,430249
Bellver de Cerdanya,Bellver de Cerdanya,250518
Bellvís,Bellvís,250523
Benavent de Segrià,Benavent de Segrià,250539
Benifallet,Benifallet,430252
Benissanet,Benissanet,430265
Berga,Berga,80229
Besalú,Besalú,170195
Bescanó,Bescanó,170209
Beuda,Beuda,170216
Bigues i Riells,Bigues i Riells,80235
Biosca,Biosca,250557
Biure,Biure,172348
Blancafort,Blancafort,430290
Blanes,Blanes,170237
Boadella i les Escaules,Boadella i les Escaules,170293
Bolvir,Bolvir,170242
Bonastre,Bonastre,430304
Bordils,Bordils,170255
Borrassà,Borrassà,170268
Borredà,Borredà,80240
Bossòst,Bossòst,250595
Bot,Bot,430326
Botarell,Botarell,430332
Bovera,Bovera,250560
Bràfim,Bràfim,430347
Breda,Breda,170274
Brunyola,Brunyola i Sant Martí Sapresa,170280
Cabacés,Cabacés,430350
Cabanabona,Cabanabona,250609
Cabanelles,Cabanelles,170314
Cabanes,Cabanes,170307
Cabó,Cabó,250616
Cabra del Camp,Cabra del Camp,430363
Cabrera d'Anoia,Cabrera d'Anoia,80288
Cabrera de Mar,Cabrera de Mar,80291
Cabrils,Cabrils,80305
Cadaqués,Cadaqués,170329
Calaf,Calaf,80312
Calafell,Calafell,430379
Calders,Calders,80348
Caldes d'Estrac,Caldes d'Estrac,80327
Caldes de Malavella,Caldes de Malavella,170335
Caldes de Montbui,Caldes de Montbui,80333
Calella,Calella,80351
Calldetenes,Calldetenes,80370
Callús,Callús,80386
Calonge,Calonge de Segarra,80364
Calonge de Segarra,Calonge i Sant Antoni,170340
Camarasa,Camarasa,250621
Camarles,Camarles,439039
Cambrils,Cambrils,430385
Camós,Camós,170353
Campdevànol,Campdevànol,170366
Campelles,Campelles,170372
Campins,Campins,80399
Campllong,Campllong,170388
Camprodon,Camprodon,170391
Canejan,Canejan,250637
Canet d'Adri,Canet d'Adri,170405
Canet de Mar,Canet de Mar,80403
Canovelles,Canovelles,80410
Cànoves i Samalús,Cànoves i Samalús,80425
Cantallops,Cantallops,170412
Canyelles,Canyelles,80431
Capafonts,Capafonts,430398
Capçanes,Capçanes,430402
Capellades,Capellades,80446
Capmany,Capmany,170427
Capolat,Capolat,80459
Cardedeu,Cardedeu,80462
Cardona,Cardona,80478
Carme,Carme,80484
Caseres,Caseres,430419
Cassà de la Selva,Cassà de la Selva,170448
Casserres,Casserres,80497
Castell de l'Areny,Castell de l'Areny,80575
Castell de Mur,Castell de Mur,259046
Castell-Platja d'Aro,Castell-Platja d'Aro,170486
Castellar de la Ribera,Castellar de la Ribera,250642
Castellar de n'Hug,Castellar de n'Hug,80522
Castellar del Riu,Castellar del Riu,80500
Castellar del Vallès,Castellar del Vallès,80517
Castellbell i el Vilar,Castellbell i el Vilar,80538
Castellbisbal,Castellbisbal,80543
Castellcir,Castellcir,80556
Castelldans,Castelldans,250674
Castelldefels,Castelldefels,80569
Castellet i la Gornal,Castellet i la Gornal,80581
Castellfollit de la Roca,Castellfollit de la Roca,170464
Castellfollit de Riubregós,Castellfollit de Riubregós,80608
Castellfollit del Boix,Castellfollit del Boix,80594
Castellgalí,Castellgalí,80615
Castellnou de Bages,Castellnou de Bages,80620
Castellnou de Seana,Castellnou de Seana,250680
Castelló d'Empúries,Castelló d'Empúries,170470
Castelló de Farfanya,Castelló de Farfanya,250693
Castellolí,Castellolí,80636
Castellserà,Castellserà,250707
Castellterçol,Castellterçol,80641
Castellvell del Camp,Castellvell del Camp,430424
Castellví de la Marca,Castellví de la Marca,80654
Castellví de Rosanes,Castellví de Rosanes,80667
Cava,Cava,250714
Celrà,Celrà,170499
Centelles,Centelles,80673
Cercs,Cercs,82687
Cerdanyola del Vallès,Cerdanyola del Vallès,82665
Cervelló,Cervelló,80689
Cervera,Cervera,250729
Cervià de les Garrigues,Cervià de les Garrigues,250735
Cervià de Ter,Cervià de Ter,170502
Cistella,Cistella,170519
Ciutadilla,Ciutadilla,250740
Clariana de Cardener,Clariana de Cardener,250753
Colera,Colera,170545
Coll de Nargó,Coll de Nargó,250772
Collbató,Collbató,80692
Colldejou,Colldejou,430458
Collsuspina,Collsuspina,80706
Colomers,Colomers,170558
Conca de Dalt,Conca de Dalt,251615
Conesa,Conesa,430461
Constantí,Constantí,430477
Copons,Copons,80713
Corbera d'Ebre,Corbera d'Ebre,430483
Corbera de Llobregat,Corbera de Llobregat,80728
Corbins,Corbins,250788
Corçà,Corçà,170577
Cornellà de Llobregat,Cornellà de Llobregat,80734
Cornellà del Terri,Cornellà del Terri,170561
Cornudella de Montsant,Cornudella de Montsant,430496
Creixell,Creixell,430509
Crespià,Crespià,170583
Cubelles,Cubelles,80749
Cubells,Cubells,250791
